,Date,Open,High,Low,Close,Volume,Adj Close,ATR,SD_Log_Close,ATR_normalized,SD_normalized,Delta_Days
3176,2012-08-27,141.89,142.08,141.34,141.54,68785900,112.25,1.0600000000000063,0.0043493691202952075,-0.7478838576287239,-0.7656026550573105,4611
3177,2012-08-28,141.18,141.84,140.97,141.4,75689600,112.14,1.1214285714285788,0.004278034537473097,-0.7236224578784475,-0.7751679982744126,4612
3178,2012-08-29,141.52,141.89,141.12,141.51,65421300,112.23,1.1414285714285768,0.004309862190587648,-0.7157233974946374,-0.7709001885558817,4613
3179,2012-08-30,140.9,140.94,140.19,140.49,96589900,111.42,1.095714285714288,0.00493831754218983,-0.7337783926576347,-0.6866298263153081,4614
3180,2012-08-31,141.29,141.82,140.36,141.16,151970400,111.95,1.164285714285711,0.0054350603546154145,-0.7066958999131427,-0.6200209627949548,4615
3181,2012-09-04,141.04,141.46,140.13,141.03,120226200,111.84,1.1571428571428564,0.004335072004350067,-0.7095169929073599,-0.7675197731733723,4619
3182,2012-09-05,141.09,141.47,140.63,140.91,100660300,111.75,1.047142857142855,0.0035494313614149605,-0.7529618250183199,-0.8728673072539919,4620
3183,2012-09-06,141.76,143.78,141.75,143.77,158272500,114.02,1.3514285714285685,0.008630949483219364,-0.6327832634646274,-0.19148020192536222,4621
3184,2012-09-07,144.01,144.39,143.88,144.33,107272100,114.46,1.3157142857142787,0.00852361373997697,-0.6468887284357198,-0.20587298566304216,4622
3185,2012-09-10,144.19,144.44,143.46,143.51,86458500,113.81,1.3457142857142799,0.009126194617975165,-0.6350401378600031,-0.12507216387245157,4625
3186,2012-09-11,143.6,144.37,143.56,143.91,88760000,114.13,1.2799999999999971,0.008171456720817377,-0.6609941934068089,-0.2530941597599492,4626
3187,2012-09-12,144.39,144.55,143.9,144.39,87640900,114.51,1.164285714285715,0.008150759825215195,-0.7066958999131412,-0.2558694323154373,4627
3188,2012-09-13,144.37,147.04,143.99,146.59,225470200,116.25,1.4099999999999966,0.008999569657590053,-0.609650300912039,-0.14205146280458378,4628
3189,2012-09-14,146.88,148.11,146.76,147.24,169777000,116.77,1.5071428571428547,0.00858821551871604,-0.5712834361906719,-0.19721045254617406,4629
3190,2012-09-17,146.94,147.19,146.37,146.74,119427800,116.37,1.221428571428569,0.006664469712230317,-0.6841271559593973,-0.4551679280582239,4632
3191,2012-09-18,146.49,146.81,146.25,146.62,98326600,116.28,1.2128571428571442,0.006786936452898732,-0.6875124675524577,-0.43874620999625,4633
3192,2012-09-19,146.79,147.17,146.41,146.7,128318300,116.34,1.1814285714285728,0.005923992873365042,-0.6999252767270174,-0.5544593912987686,4634
3193,2012-09-20,146.03,146.79,145.63,146.71,154009800,116.35,1.2242857142857133,0.006039064502918518,-0.6829987187617096,-0.5390292929133182,4635
3194,2012-09-21,146.64,146.67,145.81,145.87,108737500,116.3,1.2599999999999991,0.006817799392242207,-0.6688932537906188,-0.43460775995098755,4636
3195,2012-09-24,145.15,145.98,145.04,145.65,95682000,116.13,0.9585714285714297,0.0032003653128559214,-0.7879433781466234,-0.9196740092463658,4639
3196,2012-09-25,145.96,146.24,144.06,144.1,133165200,114.89,1.0528571428571436,0.003997434834400026,-0.7507049506229442,-0.8127939625728811,4640
3197,2012-09-26,144.07,144.11,142.95,143.29,146502200,114.24,1.0942857142857179,0.004115012475832783,-0.7343426112564778,-0.797027829927705,4641
3198,2012-09-27,143.89,144.97,143.51,144.64,111830300,115.32,1.2542857142857184,0.006368160530975842,-0.6711501281859913,-0.4949003958872651,4642
3199,2012-09-28,144.09,144.56,143.46,143.97,150696100,114.79,1.3142857142857167,0.006332183512425575,-0.6474529470345597,-0.4997245991943697,4643
3200,2012-10-01,144.52,145.69,144.01,144.35,135911200,115.09,1.394285714285717,0.006587393778181134,-0.6158567054993164,-0.4655031362250354,4646
3201,2012-10-02,144.92,145.15,143.83,144.5,113422200,115.21,1.4542857142857153,0.00649768682352996,-0.5921595243478848,-0.4775320537045041,4647
3202,2012-10-03,144.89,145.43,144.13,145.09,121283100,115.68,1.5057142857142887,0.006809864797295724,-0.5718476547895134,-0.4356717196876143,4648
3203,2012-10-04,145.64,146.34,145.44,146.13,124311600,116.51,1.3728571428571448,0.0056118122779410485,-0.6243199844819711,-0.5963200768570815,4649
3204,2012-10-05,146.91,147.16,145.7,146.14,124842100,116.52,1.4157142857142853,0.004649910880828378,-0.6073934265166633,-0.725302635391662,4650
3205,2012-10-08,145.6,146.12,145.31,145.64,78415400,116.12,1.2942857142857105,0.004126547366584326,-0.655352007418373,-0.7954811020343714,4653
3206,2012-10-09,145.53,145.65,144.15,144.2,148872900,114.97,1.3399999999999994,0.005564274615954129,-0.6372970122553756,-0.6026944612671988,4654
3207,2012-10-10,144.18,144.32,143.09,143.28,124247500,114.24,1.269999999999998,0.0059475574960127465,-0.6649437235987139,-0.5512995816455898,4655
3208,2012-10-11,144.28,144.49,143.33,143.36,123601500,114.3,1.2542857142857144,0.005921983346553612,-0.671150128185993,-0.5547288512562655,4656
3209,2012-10-12,143.46,143.95,142.58,142.89,124181900,113.92,1.2642857142857093,0.005480441208206523,-0.6672005979940896,-0.613935787513752,4657
3210,2012-10-15,143.23,144.23,142.77,144.08,107689100,114.87,1.2942857142857065,0.005814028194780629,-0.6553520074183745,-0.5692046922566683,4660
3211,2012-10-16,144.76,145.64,144.66,145.54,108815500,116.04,1.3085714285714158,0.007422499253945139,-0.6497098214299402,-0.3535228009915037,4661
3212,2012-10-17,145.64,146.32,145.42,146.2,128834100,116.56,1.318571428571419,0.0075233060139209065,-0.6457602912380336,-0.3400054967664711,4662
3213,2012-10-18,145.82,146.52,145.33,145.82,148108500,116.26,1.2742857142857045,0.0062170788793491655,-0.6632510678021861,-0.5151591230633898,4663
3214,2012-10-19,145.55,145.56,143.05,143.39,185645200,114.32,1.4942857142857033,0.009047035772033888,-0.5763614035802679,-0.1356866722937909,4664
